pressure,temperature,,,,,,
15596221.57,338.15,,,,,,
15006135.83,338.15,,,,,,
15006135.83,338.15,,,,,,
15731722.02,338.15,,,,,,
15164560.3,338.15,,,,,,
15445536.51,338.15,,,,,,
15633655.52,338.15,,,,,,
15936681,338.15,,,,,,
15982603.58,338.15,,,,,,
16011413.56,338.15,,,,,,
15835503.83,338.15,,,,,,
15815890.53,338.15,,,,,,
14611908.5,338.15,,,,,,
13412641.5,338.15,,,,,,
14000037.28,338.15,,,,,,
12345677.98,338.15,,,,,,
12515521.32,338.15,,,,,,
11507960.6,338.15,,,,,,
11617278.27,338.15,,,,,,
13901514.77,338.15,,,,,,
11697458.42,338.15,,,,,,
9879076.033,338.15,,,,,,
8775686.692,338.15,,,,,,
9601265.406,338.15,,,,,,
9482648.091,338.15,,,,,,
9037383.031,338.15,,,,,,
8162864.23,338.15,,,,,,
7955399.646,338.15,,,,,,`
12078054.51,338.15,,,,,,
7111709.03,338.15,,,,,,
